order_id,date,product,category,brand,region,city,channel,quantity,unit_price,discount_pct,revenue
NYK100037,2024-01-01,Hair Vitamins,Wellness,Lumière,Central,Nagpur,Web,4,879,20,2812.8
NYK100038,2024-01-01,HD Foundation,Makeup,Velvet,Central,Nagpur,Web,1,906,25,679.5
NYK100039,2024-01-01,Argan Oil Shampoo,Haircare,Lumière,West,Pune,Marketplace,1,461,0,461.0
NYK100040,2024-01-01,Niacinamide Toner,Skincare,Lumière,North,Delhi,Mobile App,3,790,5,2251.5
NYK100041,2024-01-01,Sunscreen SPF 50,Skincare,Lumière,West,Mumbai,Mobile App,3,764,0,2292.0
NYK100042,2024-01-02,Collagen Powder,Wellness,Pureveda,West,Ahmedabad,Marketplace,2,974,5,1850.6
NYK100043,2024-01-02,Hair Vitamins,Wellness,Lumière,South,Chennai,Mobile App,1,879,10,791.1
NYK100044,2024-01-02,Argan Oil Shampoo,Haircare,Lumière,Central,Indore,Marketplace,3,461,20,1106.4
NYK100045,2024-01-02,Coffee Body Scrub,Bath & Body,Glow Co,North,Chandigarh,Mobile App,4,694,25,2082.0
NYK100046,2024-01-02,Retinol Cream,Skincare,Glow Co,East,Kolkata,Mobile App,3,1027,10,2772.9
NYK100047,2024-01-02,Matte Liquid Lipstick,Makeup,Maison Lux,West,Ahmedabad,Web,1,796,25,597.0
NYK100048,2024-01-02,Collagen Powder,Wellness,Pureveda,South,Bengaluru,Mobile App,2,974,0,1948.0
NYK100049,2024-01-02,Sunscreen SPF 50,Skincare,Lumière,West,Pune,Mobile App,3,764,10,2062.8
NYK100050,2024-01-02,Charcoal Face Wash,Bath & Body,Lumière,South,Hyderabad,Mobile App,1,668,25,501.0
NYK100051,2024-01-02,Compact Powder,Makeup,Glow Co,East,Kolkata,Mobile App,3,666,15,1698.3
NYK100052,2024-01-02,Hyaluronic Moisturizer,Skincare,Maison Lux,West,Ahmedabad,Marketplace,1,662,0,662.0
NYK100053,2024-01-02,Eau de Parfum Rose,Fragrance,Maison Lux,South,Bengaluru,Web,2,2032,0,4064.0
NYK100054,2024-01-02,Hair Vitamins,Wellness,Lumière,West,Ahmedabad,Web,3,879,25,1977.75
NYK100055,2024-01-02,Onion Hair Oil,Haircare,Maison Lux,South,Bengaluru,Web,1,451,10,405.9
NYK100056,2024-01-02,Collagen Powder,Wellness,Pureveda,North,Lucknow,Web,1,974,0,974.0
NYK100057,2024-01-02,Matte Liquid Lipstick,Makeup,Maison Lux,East,Bhubaneswar,Web,4,796,0,3184.0
NYK100058,2024-01-02,Argan Oil Shampoo,Haircare,Lumière,South,Chennai,Web,2,461,10,829.8
NYK100059,2024-01-02,Hair Vitamins,Wellness,Lumière,East,Bhubaneswar,Web,1,879,5,835.05
NYK100060,2024-01-02,Eau de Parfum Rose,Fragrance,Maison Lux,East,Kolkata,Web,1,2032,5,1930.4
NYK100061,2024-01-02,Collagen Powder,Wellness,Pureveda,South,Bengaluru,Mobile App,1,974,10,876.6
NYK100062,2024-01-02,Biotin Gummies,Wellness,Bloomé,West,Ahmedabad,Web,1,1157,0,1157.0
NYK100063,2024-01-02,Compact Powder,Makeup,Glow Co,Central,Bhopal,Web,1,666,0,666.0
NYK100064,2024-01-02,Charcoal Face Wash,Bath & Body,Lumière,West,Ahmedabad,Marketplace,1,668,15,567.8
NYK100065,2024-01-02,Oud Perfume Luxe,Fragrance,Bloomé,East,Kolkata,Web,1,1812,10,1630.8
NYK100066,2024-01-02,Hair Vitamins,Wellness,Lumière,West,Pune,Mobile App,1,879,10,791.1
NYK100067,2024-01-02,Niacinamide Toner,Skincare,Lumière,Central,Nagpur,Marketplace,3,790,10,2133.0
NYK100068,2024-01-02,Sunscreen SPF 50,Skincare,Lumière,South,Hyderabad,Mobile App,2,764,15,1298.8
NYK100069,2024-01-02,Hair Serum Smooth,Haircare,Velvet,West,Pune,Marketplace,2,363,15,617.1
NYK100070,2024-01-02,Hair Serum Smooth,Haircare,Velvet,East,Guwahati,Mobile App,2,363,10,653.4
NYK100071,2024-01-02,Shea Body Lotion,Bath & Body,Pureveda,South,Chennai,Marketplace,3,581,15,1481.55
NYK100072,2024-01-02,Charcoal Face Wash,Bath & Body,Lumière,South,Kochi,Marketplace,2,668,5,1269.2
NYK100073,2024-01-02,Body Mist Citrus,Fragrance,Bloomé,Central,Nagpur,Marketplace,2,1979,0,3958.0
NYK100074,2024-01-02,Niacinamide Toner,Skincare,Lumière,West,Ahmedabad,Web,1,790,0,790.0
NYK100075,2024-01-03,HD Foundation,Makeup,Velvet,North,Lucknow,Mobile App,1,906,0,906.0
NYK100076,2024-01-03,Onion Hair Oil,Haircare,Maison Lux,West,Surat,Mobile App,3,451,20,1082.4
NYK100077,2024-01-03,Kajal Eyeliner,Makeup,Velvet,West,Mumbai,Web,1,494,15,419.9
NYK100078,2024-01-03,Matte Liquid Lipstick,Makeup,Maison Lux,West,Surat,Marketplace,2,796,0,1592.0
NYK100079,2024-01-03,Kajal Eyeliner,Makeup,Velvet,North,Chandigarh,Marketplace,3,494,20,1185.6
NYK100080,2024-01-03,Oud Perfume Luxe,Fragrance,Bloomé,West,Surat,Mobile App,4,1812,25,5436.0
NYK100081,2024-01-03,Shea Body Lotion,Bath & Body,Pureveda,North,Lucknow,Mobile App,1,581,20,464.8
NYK100082,2024-01-03,Kajal Eyeliner,Makeup,Velvet,South,Kochi,Mobile App,3,494,5,1407.9
NYK100083,2024-01-03,Eau de Parfum Rose,Fragrance,Maison Lux,South,Hyderabad,Mobile App,1,2032,10,1828.8
NYK100084,2024-01-03,Shea Body Lotion,Bath & Body,Pureveda,North,Lucknow,Marketplace,1,581,0,581.0
NYK100085,2024-01-03,HD Foundation,Makeup,Velvet,South,Kochi,Web,1,906,15,770.1
NYK100086,2024-01-03,HD Foundation,Makeup,Velvet,South,Bengaluru,Mobile App,3,906,15,2310.3
NYK100087,2024-01-03,Vitamin C Serum,Skincare,Glow Co,South,Kochi,Marketplace,3,977,15,2491.35
NYK100088,2024-01-03,Shea Body Lotion,Bath & Body,Pureveda,East,Bhubaneswar,Mobile App,2,581,5,1103.9
NYK100089,2024-01-03,Onion Hair Oil,Haircare,Maison Lux,South,Kochi,Mobile App,1,451,0,451.0
NYK100090,2024-01-03,Retinol Cream,Skincare,Glow Co,West,Surat,Web,4,1027,0,4108.0
NYK100091,2024-01-03,Biotin Gummies,Wellness,Bloomé,East,Kolkata,Mobile App,1,1157,0,1157.0
NYK100092,2024-01-03,Hair Serum Smooth,Haircare,Velvet,South,Hyderabad,Mobile App,1,363,15,308.55
NYK100093,2024-01-03,Onion Hair Oil,Haircare,Maison Lux,North,Delhi,Web,1,451,25,338.25
NYK100094,2024-01-03,Keratin Conditioner,Haircare,Velvet,North,Delhi,Web,1,608,0,608.0
NYK100095,2024-01-03,HD Foundation,Makeup,Velvet,West,Pune,Mobile App,3,906,0,2718.0
NYK100096,2024-01-03,Collagen Powder,Wellness,Pureveda,Central,Bhopal,Mobile App,1,974,10,876.6
NYK100097,2024-01-03,Matte Liquid Lipstick,Makeup,Maison Lux,Central,Nagpur,Web,2,796,0,1592.0
NYK100098,2024-01-03,Mascara Volume,Makeup,Glow Co,North,Jaipur,Mobile App,1,465,15,395.25
NYK100099,2024-01-03,Hair Vitamins,Wellness,Lumière,West,Pune,Marketplace,1,879,0,879.0
NYK100100,2024-01-03,Mascara Volume,Makeup,Glow Co,West,Mumbai,Mobile App,3,465,0,1395.0
NYK100101,2024-01-03,Shea Body Lotion,Bath & Body,Pureveda,South,Hyderabad,Mobile App,1,581,0,581.0
NYK100102,2024-01-03,Body Mist Citrus,Fragrance,Bloomé,Central,Nagpur,Marketplace,1,1979,20,1583.2
NYK100103,2024-01-03,Retinol Cream,Skincare,Glow Co,West,Ahmedabad,Mobile App,1,1027,25,770.25
NYK100104,2024-01-03,Eau de Parfum Rose,Fragrance,Maison Lux,West,Ahmedabad,Web,1,2032,10,1828.8
NYK100105,2024-01-03,Niacinamide Toner,Skincare,Lumière,South,Kochi,Mobile App,1,790,15,671.5
NYK100106,2024-01-03,Vitamin C Serum,Skincare,Glow Co,South,Kochi,Mobile App,1,977,5,928.15
NYK100107,2024-01-04,Compact Powder,Makeup,Glow Co,East,Guwahati,Marketplace,1,666,10,599.4
NYK100108,2024-01-04,Vitamin C Serum,Skincare,Glow Co,North,Chandigarh,Mobile App,1,977,15,830.45
NYK100109,2024-01-04,Shea Body Lotion,Bath & Body,Pureveda,West,Surat,Web,2,581,20,929.6
NYK100110,2024-01-04,Niacinamide Toner,Skincare,Lumière,South,Chennai,Marketplace,1,790,10,711.0
NYK100111,2024-01-04,Coffee Body Scrub,Bath & Body,Glow Co,West,Ahmedabad,Marketplace,1,694,15,589.9
NYK100112,2024-01-04,Shea Body Lotion,Bath & Body,Pureveda,West,Ahmedabad,Mobile App,1,581,10,522.9
NYK100113,2024-01-04,Kajal Eyeliner,Makeup,Velvet,North,Delhi,Marketplace,1,494,25,370.5
NYK100114,2024-01-04,Matte Liquid Lipstick,Makeup,Maison Lux,West,Ahmedabad,Marketplace,1,796,25,597.0
NYK100115,2024-01-04,Mascara Volume,Makeup,Glow Co,East,Bhubaneswar,Mobile App,4,465,5,1767.0
NYK100116,2024-01-04,Matte Liquid Lipstick,Makeup,Maison Lux,West,Pune,Web,1,796,10,716.4
NYK100117,2024-01-04,Hyaluronic Moisturizer,Skincare,Maison Lux,West,Pune,Web,2,662,20,1059.2
NYK100118,2024-01-04,Vitamin C Serum,Skincare,Glow Co,South,Kochi,Web,2,977,10,1758.6
NYK100119,2024-01-04,Hyaluronic Moisturizer,Skincare,Maison Lux,East,Kolkata,Mobile App,1,662,0,662.0
NYK100120,2024-01-04,Body Mist Citrus,Fragrance,Bloomé,West,Mumbai,Web,1,1979,0,1979.0
NYK100121,2024-01-04,Coffee Body Scrub,Bath & Body,Glow Co,North,Chandigarh,Marketplace,3,694,0,2082.0
NYK100122,2024-01-04,Onion Hair Oil,Haircare,Maison Lux,West,Pune,Mobile App,2,451,25,676.5
NYK100123,2024-01-04,Eau de Parfum Rose,Fragrance,Maison Lux,South,Kochi,Marketplace,3,2032,10,5486.4
NYK100124,2024-01-04,Charcoal Face Wash,Bath & Body,Lumière,Central,Indore,Marketplace,1,668,5,634.6
NYK100125,2024-01-04,HD Foundation,Makeup,Velvet,North,Chandigarh,Marketplace,1,906,0,906.0
NYK100126,2024-01-04,Niacinamide Toner,Skincare,Lumière,South,Kochi,Web,1,790,10,711.0
NYK100127,2024-01-04,Kajal Eyeliner,Makeup,Velvet,South,Kochi,Marketplace,1,494,0,494.0
NYK100128,2024-01-04,Kajal Eyeliner,Makeup,Velvet,West,Pune,Web,3,494,15,1259.7
NYK100129,2024-01-04,Shea Body Lotion,Bath & Body,Pureveda,North,Jaipur,Web,1,581,0,581.0
NYK100130,2024-01-04,Hyaluronic Moisturizer,Skincare,Maison Lux,South,Hyderabad,Web,1,662,20,529.6
NYK100131,2024-01-04,Eau de Parfum Rose,Fragrance,Maison Lux,West,Ahmedabad,Marketplace,2,2032,25,3048.0
NYK100132,2024-01-04,Body Mist Citrus,Fragrance,Bloomé,West,Surat,Marketplace,1,1979,10,1781.1
NYK100133,2024-01-04,Compact Powder,Makeup,Glow Co,South,Bengaluru,Marketplace,1,666,10,599.4
NYK100134,2024-01-04,Hyaluronic Moisturizer,Skincare,Maison Lux,North,Lucknow,Web,2,662,10,1191.6
NYK100135,2024-01-04,Coffee Body Scrub,Bath & Body,Glow Co,East,Kolkata,Mobile App,1,694,20,555.2
NYK100136,2024-01-05,Sunscreen SPF 50,Skincare,Lumière,South,Kochi,Marketplace,3,764,10,2062.8
NYK100137,2024-01-05,Hair Serum Smooth,Haircare,Velvet,West,Surat,Mobile App,2,363,0,726.0
NYK100138,2024-01-05,Compact Powder,Makeup,Glow Co,Central,Bhopal,Web,1,666,25,499.5
NYK100139,2024-01-05,Collagen Powder,Wellness,Pureveda,South,Bengaluru,Marketplace,3,974,5,2775.9
NYK100140,2024-01-05,Keratin Conditioner,Haircare,Velvet,South,Kochi,Web,2,608,0,1216.0
NYK100141,2024-01-05,Compact Powder,Makeup,Glow Co,Central,Bhopal,Web,1,666,20,532.8
NYK100142,2024-01-05,Vitamin C Serum,Skincare,Glow Co,West,Pune,Mobile App,4,977,0,3908.0
NYK100143,2024-01-05,Shea Body Lotion,Bath & Body,Pureveda,South,Chennai,Mobile App,1,581,0,581.0
NYK100144,2024-01-05,Sunscreen SPF 50,Skincare,Lumière,North,Jaipur,Marketplace,2,764,25,1146.0
NYK100145,2024-01-05,Compact Powder,Makeup,Glow Co,South,Kochi,Mobile App,1,666,5,632.7
NYK100146,2024-01-05,Shea Body Lotion,Bath & Body,Pureveda,North,Chandigarh,Mobile App,1,581,0,581.0
NYK100147,2024-01-05,Onion Hair Oil,Haircare,Maison Lux,West,Ahmedabad,Mobile App,1,451,0,451.0
NYK100148,2024-01-05,Mascara Volume,Makeup,Glow Co,West,Surat,Mobile App,3,465,0,1395.0
NYK100149,2024-01-05,Shea Body Lotion,Bath & Body,Pureveda,South,Kochi,Mobile App,1,581,20,464.8
NYK100150,2024-01-05,HD Foundation,Makeup,Velvet,South,Kochi,Mobile App,4,906,5,3442.8
NYK100151,2024-01-05,Hyaluronic Moisturizer,Skincare,Maison Lux,South,Kochi,Marketplace,1,662,15,562.7
NYK100152,2024-01-05,Biotin Gummies,Wellness,Bloomé,South,Bengaluru,Marketplace,4,1157,0,4628.0
NYK100153,2024-01-05,Coffee Body Scrub,Bath & Body,Glow Co,North,Lucknow,Marketplace,1,694,0,694.0
NYK100154,2024-01-05,Eau de Parfum Rose,Fragrance,Maison Lux,North,Chandigarh,Mobile App,1,2032,0,2032.0
NYK100155,2024-01-05,Compact Powder,Makeup,Glow Co,West,Mumbai,Marketplace,1,666,10,599.4
NYK100156,2024-01-05,Shea Body Lotion,Bath & Body,Pureveda,South,Kochi,Web,1,581,25,435.75
NYK100157,2024-01-05,Charcoal Face Wash,Bath & Body,Lumière,West,Ahmedabad,Marketplace,1,668,5,634.6
NYK100158,2024-01-05,Niacinamide Toner,Skincare,Lumière,North,Delhi,Web,1,790,20,632.0
NYK100159,2024-01-05,Hair Vitamins,Wellness,Lumière,North,Jaipur,Mobile App,1,879,0,879.0
NYK100160,2024-01-05,Keratin Conditioner,Haircare,Velvet,North,Lucknow,Web,1,608,0,608.0
NYK100161,2024-01-05,Matte Liquid Lipstick,Makeup,Maison Lux,East,Guwahati,Mobile App,1,796,5,756.2
NYK100162,2024-01-05,Coffee Body Scrub,Bath & Body,Glow Co,South,Hyderabad,Mobile App,1,694,20,555.2
NYK100163,2024-01-05,Collagen Powder,Wellness,Pureveda,East,Bhubaneswar,Web,1,974,25,730.5
NYK100164,2024-01-05,Niacinamide Toner,Skincare,Lumière,South,Hyderabad,Marketplace,1,790,15,671.5
NYK100165,2024-01-06,Compact Powder,Makeup,Glow Co,South,Kochi,Web,1,666,20,532.8
NYK100166,2024-01-06,Kajal Eyeliner,Makeup,Velvet,South,Hyderabad,Web,1,494,10,444.6
NYK100167,2024-01-06,Collagen Powder,Wellness,Pureveda,North,Delhi,Mobile App,1,974,20,779.2
NYK100168,2024-01-06,Kajal Eyeliner,Makeup,Velvet,South,Chennai,Marketplace,2,494,10,889.2
NYK100169,2024-01-06,Collagen Powder,Wellness,Pureveda,North,Delhi,Mobile App,2,974,0,1948.0
NYK100170,2024-01-06,Eau de Parfum Rose,Fragrance,Maison Lux,South,Chennai,Mobile App,1,2032,0,2032.0
NYK100171,2024-01-06,Argan Oil Shampoo,Haircare,Lumière,North,Chandigarh,Mobile App,2,461,25,691.5
NYK100172,2024-01-06,Oud Perfume Luxe,Fragrance,Bloomé,South,Chennai,Mobile App,1,1812,10,1630.8
NYK100173,2024-01-06,Mascara Volume,Makeup,Glow Co,South,Bengaluru,Web,2,465,20,744.0
NYK100174,2024-01-06,Retinol Cream,Skincare,Glow Co,South,Kochi,Mobile App,2,1027,25,1540.5
NYK100175,2024-01-06,Niacinamide Toner,Skincare,Lumière,North,Delhi,Mobile App,2,790,20,1264.0
NYK100176,2024-01-06,Collagen Powder,Wellness,Pureveda,South,Kochi,Web,2,974,10,1753.2
NYK100177,2024-01-06,Collagen Powder,Wellness,Pureveda,North,Jaipur,Marketplace,1,974,5,925.3
NYK100178,2024-01-06,Niacinamide Toner,Skincare,Lumière,South,Hyderabad,Web,2,790,15,1343.0
NYK100179,2024-01-06,Retinol Cream,Skincare,Glow Co,North,Lucknow,Web,1,1027,0,1027.0
NYK100180,2024-01-06,Kajal Eyeliner,Makeup,Velvet,North,Lucknow,Marketplace,3,494,10,1333.8
NYK100181,2024-01-06,Hair Vitamins,Wellness,Lumière,South,Chennai,Marketplace,3,879,15,2241.45
NYK100182,2024-01-06,Sunscreen SPF 50,Skincare,Lumière,West,Ahmedabad,Marketplace,3,764,0,2292.0
NYK100183,2024-01-06,Keratin Conditioner,Haircare,Velvet,South,Chennai,Web,1,608,10,547.2
NYK100184,2024-01-06,Collagen Powder,Wellness,Pureveda,East,Guwahati,Web,1,974,10,876.6
NYK100185,2024-01-06,Hair Serum Smooth,Haircare,Velvet,Central,Bhopal,Marketplace,1,363,0,363.0
NYK100186,2024-01-06,HD Foundation,Makeup,Velvet,West,Mumbai,Mobile App,2,906,0,1812.0
NYK100187,2024-01-06,Kajal Eyeliner,Makeup,Velvet,West,Pune,Marketplace,4,494,0,1976.0
NYK100188,2024-01-06,HD Foundation,Makeup,Velvet,East,Kolkata,Web,2,906,10,1630.8
NYK100189,2024-01-06,Charcoal Face Wash,Bath & Body,Lumière,East,Kolkata,Marketplace,1,668,0,668.0
NYK100190,2024-01-06,Compact Powder,Makeup,Glow Co,North,Delhi,Web,2,666,0,1332.0
NYK100191,2024-01-06,Keratin Conditioner,Haircare,Velvet,South,Hyderabad,Web,2,608,0,1216.0
NYK100192,2024-01-06,Compact Powder,Makeup,Glow Co,West,Mumbai,Mobile App,1,666,0,666.0
NYK100193,2024-01-06,Eau de Parfum Rose,Fragrance,Maison Lux,West,Mumbai,Marketplace,2,2032,20,3251.2
NYK100194,2024-01-06,Kajal Eyeliner,Makeup,Velvet,North,Jaipur,Marketplace,3,494,20,1185.6
NYK100195,2024-01-06,Vitamin C Serum,Skincare,Glow Co,South,Kochi,Marketplace,1,977,15,830.45
NYK100196,2024-01-06,Sunscreen SPF 50,Skincare,Lumière,East,Kolkata,Mobile App,1,764,0,764.0
NYK100197,2024-01-06,Charcoal Face Wash,Bath & Body,Lumière,North,Jaipur,Marketplace,1,668,15,567.8
NYK100198,2024-01-06,Oud Perfume Luxe,Fragrance,Bloomé,West,Surat,Marketplace,1,1812,0,1812.0
NYK100199,2024-01-06,Sunscreen SPF 50,Skincare,Lumière,West,Pune,Mobile App,3,764,15,1948.2
NYK100200,2024-01-06,Kajal Eyeliner,Makeup,Velvet,East,Bhubaneswar,Marketplace,1,494,15,419.9
NYK100201,2024-01-06,Sunscreen SPF 50,Skincare,Lumière,South,Hyderabad,Web,1,764,10,687.6
NYK100202,2024-01-06,Collagen Powder,Wellness,Pureveda,North,Delhi,Mobile App,3,974,0,2922.0
NYK100203,2024-01-06,Sunscreen SPF 50,Skincare,Lumière,South,Chennai,Web,2,764,25,1146.0
NYK100204,2024-01-06,Coffee Body Scrub,Bath & Body,Glow Co,West,Mumbai,Mobile App,4,694,15,2359.6
NYK100205,2024-01-06,Collagen Powder,Wellness,Pureveda,South,Bengaluru,Marketplace,3,974,10,2629.8
NYK100206,2024-01-06,Mascara Volume,Makeup,Glow Co,West,Pune,Marketplace,1,465,0,465.0
NYK100207,2024-01-06,Body Mist Citrus,Fragrance,Bloomé,North,Jaipur,Mobile App,1,1979,0,1979.0
NYK100208,2024-01-06,Coffee Body Scrub,Bath & Body,Glow Co,South,Bengaluru,Web,1,694,10,624.6
NYK100209,2024-01-06,Matte Liquid Lipstick,Makeup,Maison Lux,West,Ahmedabad,Web,1,796,10,716.4
NYK100210,2024-01-06,Matte Liquid Lipstick,Makeup,Maison Lux,West,Surat,Web,3,796,0,2388.0
NYK100211,2024-01-06,Biotin Gummies,Wellness,Bloomé,North,Chandigarh,Mobile App,4,1157,15,3933.8
NYK100212,2024-01-06,Eau de Parfum Rose,Fragrance,Maison Lux,South,Hyderabad,Web,1,2032,0,2032.0
NYK100213,2024-01-06,Retinol Cream,Skincare,Glow Co,West,Mumbai,Mobile App,1,1027,10,924.3
NYK100214,2024-01-06,Collagen Powder,Wellness,Pureveda,West,Surat,Web,1,974,10,876.6
NYK100215,2024-01-07,Onion Hair Oil,Haircare,Maison Lux,West,Surat,Marketplace,1,451,25,338.25
NYK100216,2024-01-07,Mascara Volume,Makeup,Glow Co,South,Bengaluru,Web,1,465,0,465.0
NYK100217,2024-01-07,Mascara Volume,Makeup,Glow Co,West,Ahmedabad,Mobile App,3,465,10,1255.5
NYK100218,2024-01-07,Sunscreen SPF 50,Skincare,Lumière,West,Pune,Mobile App,1,764,0,764.0
NYK100219,2024-01-07,Shea Body Lotion,Bath & Body,Pureveda,West,Ahmedabad,Mobile App,2,581,0,1162.0
NYK100220,2024-01-07,Hyaluronic Moisturizer,Skincare,Maison Lux,South,Bengaluru,Marketplace,1,662,10,595.8
NYK100221,2024-01-07,Onion Hair Oil,Haircare,Maison Lux,West,Surat,Web,2,451,10,811.8
NYK100222,2024-01-07,Hair Serum Smooth,Haircare,Velvet,South,Kochi,Web,1,363,10,326.7
NYK100223,2024-01-07,Onion Hair Oil,Haircare,Maison Lux,South,Kochi,Web,3,451,25,1014.75
NYK100224,2024-01-07,Hair Serum Smooth,Haircare,Velvet,West,Pune,Web,3,363,10,980.1
NYK100225,2024-01-07,Niacinamide Toner,Skincare,Lumière,North,Chandigarh,Mobile App,1,790,10,711.0
NYK100226,2024-01-07,Biotin Gummies,Wellness,Bloomé,South,Chennai,Web,2,1157,10,2082.6
NYK100227,2024-01-07,Matte Liquid Lipstick,Makeup,Maison Lux,West,Mumbai,Marketplace,2,796,0,1592.0
NYK100228,2024-01-07,Body Mist Citrus,Fragrance,Bloomé,West,Surat,Marketplace,1,1979,10,1781.1
NYK100229,2024-01-07,Argan Oil Shampoo,Haircare,Lumière,North,Lucknow,Mobile App,1,461,10,414.9
NYK100230,2024-01-07,Coffee Body Scrub,Bath & Body,Glow Co,West,Ahmedabad,Mobile App,1,694,20,555.2
NYK100231,2024-01-07,Hyaluronic Moisturizer,Skincare,Maison Lux,East,Kolkata,Marketplace,1,662,0,662.0
NYK100232,2024-01-07,Charcoal Face Wash,Bath & Body,Lumière,South,Bengaluru,Marketplace,1,668,20,534.4
NYK100233,2024-01-07,Biotin Gummies,Wellness,Bloomé,West,Pune,Mobile App,1,1157,0,1157.0
NYK100234,2024-01-07,Sunscreen SPF 50,Skincare,Lumière,East,Guwahati,Marketplace,2,764,0,1528.0
NYK100235,2024-01-07,Biotin Gummies,Wellness,Bloomé,South,Kochi,Marketplace,1,1157,20,925.6
NYK100236,2024-01-07,Oud Perfume Luxe,Fragrance,Bloomé,South,Hyderabad,Mobile App,2,1812,15,3080.4
NYK100237,2024-01-07,Argan Oil Shampoo,Haircare,Lumière,North,Jaipur,Mobile App,2,461,0,922.0
NYK100238,2024-01-07,Sunscreen SPF 50,Skincare,Lumière,South,Hyderabad,Mobile App,2,764,0,1528.0
NYK100239,2024-01-07,Niacinamide Toner,Skincare,Lumière,North,Jaipur,Marketplace,2,790,10,1422.0
